LtgNr;Kurzname1;Pin1;xy1;Kontakt1;Kurzname2;Pin2;xy2;Kontakt2;Sonderltg;Innenleiter;Longueur;Farbe;Quer.
705161;SP_CANLFWV1;1;1-50A;-;ESPB;26;1-72C;N_107_396_01;SL705160;2-or/br;644;OR/BR;0,35
705162;SP_CANHFWV1;1;1-50A;-;SP_CANHFW5;1;1-55G;-;SL705162;1-ws;1760;WS;0,35
705163;SP_CANLFWV1;1;1-50A;-;SP_CANLFW5;1;1-55G;-;SL705162;2-or/br;1710;OR/BR;0,35
705164;SP_CANHFWV5;1;1-52H;-;EBKVA_2;12;1-47H;N_105_111_03;SL705164;1-ws;666;WS;0,35
705165;SP_CANLFWV5;1;1-51H;-;EBKVA_2;13;1-47H;N_105_111_03;SL705164;2-or/br;685;OR/BR;0,35
705168;ESPB_R;42;1-53D;N_107_396_01;SP_CANHFWV3;1;1-84H;-;SL705168;1-ws;1337;WS;0,35
705169;ESPB_R;26;1-53D;N_107_396_01;SP_CANLFWV3;1;1-84H;-;SL705168;2-or/br;1237;OR/BR;0,35
705170;SP_CANHFWV3;1;1-84H;-;SP_CANHFW3;1;1-71D;-;SL705170;1-ws;1504;WS;0,35
705171;SP_CANLFWV3;1;1-84H;-;SP_CANLFW3;1;1-71D;-;SL705170;2-or/br;1424;OR/BR;0,35
705172;SP_CANHFWV4;1;1-49A;-;ESPB;42;1-72C;N_107_396_01;SL705172;1-ws;696;WS;0,35
705173;SP_CANLFWV4;1;1-49A;-;ESPB;26;1-72C;N_107_396_01;SL705172;2-or/br;696;OR/BR;0,35
705174;SP_CANHFW5;1;1-55G;-;2TRKMR;3;1-87G;N_105_981_01;SL705174;1-ws;1102;WS;0,35
705175;SP_CANLFW5;1;1-55G;-;2TRKMR;4;1-87G;N_105_981_01;SL705174;2-or/br;1052;OR/BR;0,35
705178;SP_CANHFW5;1;1-55G;-;1ELE;1;1-42E;N_103_360_03;SL705178;1-ws;815;WS;0,35
705179;SP_CANLFW5;1;1-55G;-;1ELE;2;1-42E;N_103_360_03;SL705178;2-or/br;765;OR/BR;0,35
705180;SP_CANHFWV4;1;1-49A;-;SP_CANHFW5;1;1-55G;-;SL705180;1-ws;1812;WS;0,35
705181;SP_CANLFWV4;1;1-49A;-;SP_CANLFW5;1;1-55G;-;SL705180;2-or/br;1762;OR/BR;0,35
705233;MB886DR_1X1;1;1-50J;6Q0_971_859_A;SP_MB671A1;1;1-54E;-;-;-;1005;BR;6
705234;MB886D_1X1;1;1-52J;6Q0_971_859_A;EBKVA_2;9;1-47H;N_105_120_02;-;-;560;BR;6
705236;SP_CANHFWV5;1;1-52H;-;SP_CANHFW5;1;1-55G;-;SL705236;1-ws;496;WS;0,35
705237;SP_CANLFWV5;1;1-51H;-;SP_CANLFW5;1;1-55G;-;SL705236;2-or/br;465;OR/BR;0,35
712015;2TRKMR;8;1-87G;N_105_982_01;ESCL;1;1-32A;N_105_975_08;SL712015;2-ws/rt;2127;WS/RT;0,5
712016;2TRKMR;9;1-87G;N_105_982_01;ESCL;2;1-32A;N_105_975_08;SL712015;1-br;2127;BR;0,5
712017;2TRKMR;13;1-87G;N_105_982_01;ESCR;1;1-38C;N_105_975_08;SL712017;2-vi;3193;VI;0,5
712018;2TRKMR;14;1-87G;N_105_982_01;ESCR;2;1-38C;N_105_975_08;SL712017;1-rt;3193;RT;0,5
712019;2TRKMR;8;1-87G;N_105_982_01;ESCR;1;1-38C;N_105_975_08;SL712019;2-ws/rt;3193;WS/RT;0,5
712020;2TRKMR;9;1-87G;N_105_982_01;ESCR;2;1-38C;N_105_975_08;SL712019;1-br;3193;BR;0,5
712021;2TRKMR;13;1-87G;N_105_982_01;ESCL;1;1-32A;N_105_975_08;SL712021;2-vi;2127;VI;0,5
712022;2TRKMR;14;1-87G;N_105_982_01;ESCL;2;1-32A;N_105_975_08;SL712021;1-rt;2127;RT;0,5
712023;2TRKMR;5;1-87G;N_105_981_03;2FWVW;5;1-42D;N_103_360_03;SL712023;1-rt;1342;RT;0,35
712024;2TRKMR;6;1-87G;N_105_981_03;2FWVW;6;1-42D;N_103_360_03;SL712023;2-br;1342;BR;0,35
728001;EMBF;6A;1-33H;N_907_325_01;2FEL;4;1-19D;N_103_360_03;-;-;1030;SW/GN;0,35
728002;4TRKMR;13;1-88H;N_105_981_01;2FEL;3;1-19D;N_103_360_03;SL728002;1-gr;1792;GR;0,35
728003;4TRKMR;14;1-88H;N_105_981_01;2FEL;2;1-19D;N_103_360_03;SL728002;2-or/br;1792;OR/BR;0,35
728004;2FEL;1;1-19D;N_103_360_03;SP_MB673B2;1;1-39E;-;-;-;571;BR;0,35
728005;1ETHV_12;1;1-30F;N_108_535_01;4TRKMR;11;1-88H;N_105_981_01;SL728005;1-gn;1632;GN;0,35
728006;1ETHV_12;2;1-30F;N_108_535_01;4TRKMR;12;1-88H;N_105_981_01;SL728005;2-ws;1632;WS;0,35
728007;1ETHV_34;1;1-29F;N_108_535_01;4TRKMR;1;1-88H;N_105_981_01;SL728007;1-gn;1632;GN;0,35
728008;1ETHV_34;2;1-29F;N_108_535_01;4TRKMR;2;1-88H;N_105_981_01;SL728007;2-ws;1632;WS;0,35
728009;4TRKMR;15;1-88H;N_103_188_01;2FEL;5;1-19D;N_103_360_03;-;-;1792;RT/GE;0,35
728010;4TRKMR;17;1-88H;N_103_188_01;2FEL;6;1-19D;N_103_360_03;-;-;1792;BR/WS;0,35
728027;EMBF;12A;1-33H;N_907_326_01;SPKR_1;1;1-36A;N_104_427_01;-;-;3095;SW/BL;0,5
728028;SPKR_1;2;1-36A;N_104_427_01;SP_MB792A2;1;1-53B;-;-;-;1020;BR;0,5
728029;SP_CANLAFS;1;1-74B;-;SPKR_1;3;1-36A;N_104_426_01;SL728029;2-or/br;1345;OR/BR;0,35
728030;SP_CANHAFS;1;1-73B;-;SPKR_1;4;1-36A;N_104_426_01;SL728029;1-or/gn;1295;OR/GN;0,35
733001;2TRKMR;15;1-87G;N_103_189_01;SP_30A_F18;1;1-71E;-;-;-;1467;RT/SW;0,5
733007;RSADL_AS;3;1-65F;N_105_975_02;SP_30A_F18;1;1-71E;-;-;-;2470;RT/SW;0,5
733008;RSADL_AS;4;1-65F;N_105_975_02;SP_MB673B2;1;1-39E;-;-;-;2389;BR;0,5
733011;RSADR_AS;3;1-69C;N_105_975_02;SP_30A_F18;1;1-71E;-;-;-;3107;RT/SW;0,5
733012;RSADR_AS;4;1-69C;N_105_975_02;SP_MB792A2;1;1-53B;-;-;-;3813;BR;0,5
733013;RSADR_AS;5;1-69C;N_105_975_02;SP_MB792A2;1;1-53B;-;-;-;3813;BR;0,5
733018;ATILI_AS;1;1-61F;N_907_649_02;1TRKMR;6;1-88H;N_105_982_01;SL733018;2-sw;2013;SW;0,5
733019;ATILI_AS;2;1-61F;N_907_649_02;1TRKMR;7;1-88H;N_105_982_01;SL733018;1-gn;2013;GN;0,5
733033;ATIRE_AS;1;1-66B;N_907_649_02;1TRKMR;13;1-88H;N_105_982_01;SL733020;2-sw;2652;SW;0,5
733034;ATIRE_AS;2;1-66B;N_907_649_02;1TRKMR;14;1-88H;N_105_982_01;SL733020;1-br;2652;BR;0,5
733035;8TRKMR;12;1-87B;N_105_974_01;SP_CANCH1;1;1-71C;-;SL733035;1-ge;1250;GE;0,35
733036;8TRKMR;13;1-87B;N_105_974_01;SP_CANCL1;1;1-71D;-;SL733035;2-or/br;1308;OR/BR;0,35
733037;RSADL_AS;1;1-65F;N_105_974_02;SP_CANCH1;1;1-71C;-;SL733037;1-ge;2765;GE;0,35
733038;RSADL_AS;2;1-65F;N_105_974_02;SP_CANCL1;1;1-71D;-;SL733037;2-or/br;2707;OR/BR;0,35
733039;RSADR_AS;1;1-69C;N_105_974_02;SP_CANCH1;1;1-71C;-;SL733039;1-ge;3402;GE;0,35
733040;RSADR_AS;2;1-69C;N_105_974_02;SP_CANCL1;1;1-71D;-;SL733039;2-or/br;3344;OR/BR;0,35
739001;EMBF;24A;1-33H;N_907_326_01;ELU;2;1-40D;N_105_117_02;-;-;830;SW/RT;0,75
739002;EMBF;16A;1-33H;N_105_120_04;ELU;1;1-40D;N_106_867_01;-;-;830;RT/GE;6
739003;MB764B;1;1-57G;6Q0_971_859_A;ELU;4;1-40D;N_106_867_01;-;-;990;BR;6
739004;8TRKMR;7;1-87B;N_105_974_01;ELU;3;1-40D;N_105_116_02;-;-;2876;GE/VI;0,35
740001;SP_MB673B1;1;1-41F;-;KUJA;1;1-39D;N_107_766_02;-;-;545;BR;1
740002;8TRKMR;5;1-87B;N_105_974_01;KUJA;2;1-39D;N_105_974_02;-;-;2946;VI/GN;0,35
740003;KUJA;4;1-39D;N_107_766_02;SP_87HRF26;1;1-41H;-;-;-;585;RT/GN;1
743001;MB673A;1;1-47G;6Q0_971_859;SP_MB673A1;1;1-40H;-;-;-;545;BR;4
743003;MB792A;1;1-58B;6Q0_971_859;SP_MB792A1;1;1-52B;-;-;-;344;BR;4
743008;SAMB;19;1-82F;N_907_649_01;SP_31SMM;1;1-42G;-;-;-;1122;BR;0,5
743009;SP_MB792A2;1;1-53B;-;SP_MB792A1;1;1-52B;-;-;-;229;BR;1,5
743010;SP_LIN_DIAG;1;1-55F;-;SAMB;30;1-82F;N_907_647_01;-;-;1052;VI/WS;0,35
743011;SP_LIN_DIAG;1;1-55F;-;8TRKMR;14;1-87B;N_105_974_01;-;-;2521;VI/WS;0,35
743040;LEDL_S;6;1-40F;N_105_115_03;EMBF;4A;1-33H;N_907_327_01;-;-;690;SW/VI;2,5
743041;LEDR_S;6;1-43D;N_105_115_03;EMBF;5A;1-33H;N_907_327_01;-;-;2800;SW/GR;2,5
743042;LEDR_S;5;1-43D;N_105_115_03;SP_MB792A1;1;1-52B;-;-;-;695;br;2,5
743043;LEDL_S;5;1-40F;N_105_115_03;SP_MB673B1;1;1-41F;-;-;-;695;br;2,5
743044;FWM1_AS;4;1-58G;N_105_115_03;EMBF;10A;1-33H;N_907_327_01;-;-;1695;RT/WS;2,5
743045;SP_MB673A1;1;1-40H;-;FWM1_AS;3;1-58G;N_105_115_03;-;-;1480;br;2,5
743047;SP_LIN_DIAG;1;1-55F;-;FWM1_AS;1;1-58G;N_105_113_03;-;-;590;VI/WS;0,35
743048;SP_LIN_DIAG;1;1-55F;-;FWM2_AS;4;1-63E;N_105_113_03;-;-;1225;VI/WS;0,35
743049;SP_MB673A1;1;1-40H;-;FWM2_AS;2;1-63E;N_105_115_03;-;-;2115;br;2,5
743050;FWM2_AS;1;1-63E;N_105_115_03;EMBF;10A;1-33H;N_907_327_01;-;-;2330;RT/WS;2,5
743051;ASE_AS;1;1-23A;N_105_111_03;SP_31SMM;1;1-42G;-;-;-;1180;BR;0,35
743052;ASE_AS;2;1-23A;N_105_111_03;SAMB;27;1-82F;N_907_647_01;-;-;2102;BR/GE;0,35
743053;FKS_AS;1;1-35F;N_105_112_03;SAMB;14;1-82F;N_907_649_01;-;-;1467;BR/GN;0,5
743054;FKS_AS;2;1-35F;N_105_112_03;SP_31SMM;1;1-42G;-;-;-;565;BR;0,5
743058;FWM1_AS;1;1-58G;N_105_113_03;SAMB;30;1-82F;N_907_647_01;-;-;1442;VI/WS;0,35
743059;FWM2_AS;4;1-63E;N_105_113_03;SAMB;30;1-82F;N_907_647_01;-;-;2077;VI/WS;0,35
743068;KMM_AS;1;1-53B;N_906_843_02;SAMB;16;1-82F;N_907_647_01;-;-;2017;VI/RT;0,35
743069;KMM_AS;2;1-53B;N_906_843_02;SP_WAWA;1;1-50H;-;-;-;1784;BR/BL;0,35
743070;LEDL_L;1;1-37F;N_105_111_03;SP_CANHAFS;1;1-73B;-;SL743070;1-ge;2421;GE;0,35
743071;LEDL_L;2;1-37F;N_105_111_03;SP_CANLAFS;1;1-74B;-;SL743070;2-or/br;2471;OR/BR;0,35
743072;LEDL_L;5;1-37F;N_105_115_03;SP_MB673B1;1;1-41F;-;-;-;695;br;2,5
743073;LEDL_L;6;1-37F;N_105_115_03;EMBF;4A;1-33H;N_907_327_01;-;-;690;SW/VI;2,5
743074;LEDR_L;1;1-42C;N_105_111_03;SP_CANHAFS;1;1-73B;-;SL743074;1-or/gn;1000;OR/GN;0,35
743075;LEDR_L;2;1-42C;N_105_111_03;SP_CANLAFS;1;1-74B;-;SL743074;2-or/br;1050;OR/BR;0,35
743076;LEDR_L;5;1-42C;N_105_115_03;SP_MB792A1;1;1-52B;-;-;-;695;br;2,5
743077;LEDR_L;6;1-42C;N_105_115_03;EMBF;5A;1-33H;N_907_327_01;-;-;2800;SW/GR;2,5
743098;SP_CANHAFS;1;1-73B;-;8TRKMR;1;1-87B;N_105_974_01;SL743098;2-ws;835;WS;0,35
743099;SP_CANLAFS;1;1-74B;-;8TRKMR;2;1-87B;N_105_974_01;SL743098;1-or/sw;785;OR/SW;0,35
743100;SP_CANHAFS;1;1-73B;-;LEDR_S;1;1-43D;N_105_111_03;SL743100;2-ws;1000;WS;0,35
743101;SP_CANLAFS;1;1-74B;-;LEDR_S;2;1-43D;N_105_111_03;SL743100;1-or/sw;1050;OR/SW;0,35
743102;SP_CANHAFS;1;1-73B;-;LEDL_S;1;1-40F;N_105_111_03;SL743102;2-ws;2421;WS;0,35
743103;SP_CANLAFS;1;1-74B;-;LEDL_S;2;1-40F;N_105_111_03;SL743102;1-or/sw;2471;OR/SW;0,35
750001;EMBF;23A;1-33H;N_907_326_01;8TRKMR;15;1-87B;N_105_114_01;-;-;2915;RT/GN;1
750002;MB673B;1;1-48G;6Q0_971_859_C;SP_MB673B1;1;1-41F;-;-;-;440;br;2,5
750003;EMBF;42;1-33H;N_105_117_01;8TRKMR;9;1-87B;N_105_975_01;-;-;2915;SW/GR;0,5
750004;SP_MB673B2;1;1-39E;-;SP_MB673B1;1;1-41F;-;-;-;304;BR;1
750006;EMBF;26A;1-33H;N_907_326_01;SP_87HRF26;1;1-41H;-;-;-;515;RT/GN;1
750008;EMBF;32;1-33H;N_105_120_04;EMBD;1;1-33G;N_105_120_01;-;-;300;SW/RT;6
750011;8TRKMR;3;1-87B;N_105_974_01;1FWVW;11;1-43F;N_103_360_03;SL750011;1-sw;2651;sw;0,35
750012;8TRKMR;4;1-87B;N_105_974_01;1FWVW;12;1-43F;N_103_360_03;SL750011;2-or/br;2651;or/br;0,35
750013;EMBF;3A;1-33H;N_907_326_01;2FWVW;8;1-42D;N_103_361_02;-;-;535;RT/GN;1
750014;2FWVW;11;1-42D;N_103_361_02;SP_87HRF26;1;1-41H;-;-;-;220;RT/GR;1
750015;8TRKMR;8;1-87B;N_105_974_01;2FWVW;13;1-42D;N_103_360_03;-;-;2581;VI/GN;0,35
750016;EMBF;25A;1-33H;N_907_326_01;2FWVW;9;1-42D;N_103_361_02;-;-;535;RT/BL;1
761001;4TRKMR;8;1-88H;N_105_981_01;1FEL;1;1-17D;N_103_360_03;-;-;1817;SW;0,35
761002;4TRKMR;9;1-88H;N_105_981_01;1FEL;3;1-17D;N_103_360_03;-;-;1817;VI;0,35
761003;4TRKMR;10;1-88H;N_105_981_01;1FEL;5;1-17D;N_103_360_03;-;-;1817;GE;0,35
761004;4TRKMR;6;1-88H;N_105_981_01;1FEL;7;1-17D;N_103_360_03;-;-;1817;BR;0,35
761005;4TRKMR;5;1-88H;N_105_981_01;1FEL;2;1-17D;N_103_360_03;-;-;1817;GR;0,35
761006;4TRKMR;4;1-88H;N_105_981_01;1FEL;4;1-17D;N_103_360_03;-;-;1817;BL;0,35
761007;4TRKMR;3;1-88H;N_105_981_01;1FEL;6;1-17D;N_103_360_03;-;-;1817;WS;0,35
761008;4TRKMR;7;1-88H;N_105_981_01;1FEL;8;1-17D;N_103_360_03;-;-;1817;RT;0,35
765005;SP_RSVR1;1;1-81B;-;ESPB;10;1-72C;N_107_397_01;SL765005;2-sw;669;SW;0,5
765006;SP_RSVR2;1;1-81B;-;ESPB;11;1-72C;N_107_397_01;SL765005;1-gn;669;GN;0,5
765009;SP_RSVL1;1;1-83H;-;ESPB;4;1-72C;N_107_397_01;SL765009;2-sw;2003;SW;0,5
765010;SP_RSVL2;1;1-83H;-;ESPB;5;1-72C;N_107_397_01;SL765009;1-br;2003;BR;0,5
765013;ESPB;15;1-72C;N_107_397_01;1FWVW;1;1-43F;N_103_361_02;SL765013;2-gr/rt;2126;GR/RT;0,5
765014;ESPB;16;1-72C;N_107_397_01;1FWVW;2;1-43F;N_103_361_02;SL765013;1-bl/rt;2126;BL/RT;0,5
765015;ESPB;28;1-72C;N_107_397_01;1FWVW;3;1-43F;N_103_361_02;SL765015;2-gr;2126;GR;0,5
765016;ESPB;29;1-72C;N_107_397_01;1FWVW;4;1-43F;N_103_361_02;SL765015;1-bl;2126;BL;0,5
765017;SP_RSVR1;1;1-81B;-;ESPB_R;10;1-53D;N_107_397_01;SL765017;2-sw;2420;SW;0,5
765018;SP_RSVR2;1;1-81B;-;ESPB_R;11;1-53D;N_107_397_01;SL765017;1-gn;2420;GN;0,5
765021;SP_RSVL1;1;1-83H;-;ESPB_R;4;1-53D;N_107_397_01;SL765021;2-sw;1272;SW;0,5
765022;SP_RSVL2;1;1-83H;-;ESPB_R;5;1-53D;N_107_397_01;SL765021;1-br;1272;BR;0,5
765025;ESPB_R;15;1-53D;N_107_397_01;1FWVW;1;1-43F;N_103_361_02;SL765025;2-gr/rt;1315;GR/RT;0,5
765026;ESPB_R;16;1-53D;N_107_397_01;1FWVW;2;1-43F;N_103_361_02;SL765025;1-bl/rt;1315;BL/RT;0,5
765027;ESPB_R;28;1-53D;N_107_397_01;1FWVW;3;1-43F;N_103_361_02;SL765027;2-gr;1315;GR;0,5
765028;ESPB_R;29;1-53D;N_107_397_01;1FWVW;4;1-43F;N_103_361_02;SL765027;1-bl;1315;BL;0,5
765077;SAMB;12;1-82F;N_907_649_01;SP_BVAV1;1;1-84B;-;-;-;2377;BL;0,5
765078;SP_BVAV2;1;1-84B;-;SP_MB792A2;1;1-53B;-;-;-;904;BR;0,5
