1;LTGS.MOTORRAUM BASIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;11N_970_700_C;L0L/L0R;1744 (g);~;CU: 647 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;;;;
3;705055;S.EPB_SW2.._XA.J104.501.1_22_1;XA.J104.501.1;ESPB_R;22;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;2;1-86B;N_105_974_01;-;N_037_097_5;-;-;2806;GR/BL;0,35;S.EPB_SW2..;-;-;-;-;x;x;x;x;705055
3;705056;S.EPB_SW3.._XA.J104.501.1_23_1;XA.J104.501.1;ESPB_R;23;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;3;1-86B;N_105_974_01;-;N_037_095_5;-;-;2806;BL;0,35;S.EPB_SW3..;-;-;-;-;x;x;x;x;705056
3;705057;S.EPB_SW4.._XA.J104.501.1_24_1;XA.J104.501.1;ESPB_R;24;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TIUR.2A1;7TRKMR;4;1-86B;N_105_974_01;-;N_037_096_7;-;-;2806;GN/GR;0,35;S.EPB_SW4..;-;-;-;-;x;x;x;x;705057
3;705059;V.30A..EM_F2_XF.SB.3_2A_1;E-BOX;EMBF;2A;1-33H;N_907_326_01;-;J1;SP_30A_F2;1;1-48H;-;-;N_037_003_9;-;-;736;RT/SW;0,5;V.30A..EM_F2;x;x;x;x;x;x;x;x;705059
3;705060;V.30A..EM_F2_XF.SB.3_41_1;E-BOX;EMBF;41;1-33H;N_105_117_01;-;J1;SP_30A_F2;1;1-48H;-;-;N_037_003_9;-;-;736;RT/SW;0,5;V.30A..EM_F2;x;x;x;x;x;x;x;x;705060
3;705061;S.DZ_S..FL_XA.J104.501_33_1;XA.J104.501;ESPB;33;1-72C;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1B1;2FWVW;3;1-42D;N_103_360_03;357_972_740_E;N_037_097_9;-;-;2056;GR/SW;0,35;S.DZ_S..FL;-;-;x;x;-;-;-;-;705061
3;705063;S.DZ_S..FL_XA.J104.501.1_33_1;XA.J104.501.1;ESPB_R;33;1-53D;N_107_396_01;BLOC_SEAL_120_FLR;TFWV.1B1;2FWVW;3;1-42D;N_103_360_03;357_972_740_E;N_037_097_9;-;-;1245;GR/SW;0,35;S.DZ_S..FL;-;-;-;-;-;-;x;x;705063
3;705065;M.31..MB672-886_D1_XD.886.2.1_1_1;XD.886.2.1;MB886D_R;1;1-52J;6Q0_971_859_A;-;212;SP_MB671A1;1;1-54E;-;-;N_037_068_8;-;-;1005;BR;6;M.31..MB672-886_D1;-;-;-;-;x;x;-;-;705065
3;705066;M.31..MB685_A1_XA.685.2_1_1;XA.685.2;MB685A;1;1-70B;6Q0_971_859_A;-;100;SP_MB685A1;1;1-72B;-;-;N_037_068_8;-;-;470;BR;6;M.31..MB685_A1;x;x;x;x;-;-;-;-;705066
3;705089;D.CAN_F_H..FD_XA.NX6.501.1_12_1;XA.NX6.501.1;EBKVA_R;12;1-57C;N_105_111_03;357_972_740_E;E127;SP_CANHFW3;1;1-71D;-;-;N_108_564_04;SL705089;1-ws;813;WS;0,35;D.CAN_F_H..FD;-;-;-;-;x;x;x;x;705089
3;705090;D.CAN_F_L..FD_XA.NX6.501.1_13_1;XA.NX6.501.1;EBKVA_R;13;1-57C;N_105_111_03;357_972_740_E;E128;SP_CANLFW3;1;1-71D;-;-;N_108_564_04;SL705089;2-or/br;793;OR/BR;0,35;D.CAN_F_L..FD;-;-;-;-;x;x;x;x;705090
3;705091;D.CAN_F_H..FD_E127_1_1;E127;SP_CANHFW3;1;1-71D;-;-;TIUL.2B1;2TRKMR;3;1-87G;N_105_981_01;-;N_108_564_04;SL705090;1-ws;1724;WS;0,35;D.CAN_F_H..FD;-;-;-;-;x;x;x;x;705091
3;705092;D.CAN_F_L..FD_E128_1_1;E128;SP_CANLFW3;1;1-71D;-;-;TIUL.2B1;2TRKMR;4;1-87G;N_105_981_01;-;N_108_564_04;SL705090;2-or/br;1744;OR/BR;0,35;D.CAN_F_L..FD;-;-;-;-;x;x;x;x;705092
3;705099;D.CAN_F_H..FD_E127_1_3;E127;SP_CANHFW3;1;1-71D;-;-;TLENK1.1A1;1ELE;1;1-42E;N_103_360_03;357_972_740_E;N_108_564_04;SL705099;1-ws;1517;WS;0,35;D.CAN_F_H..FD;-;-;-;-;x;x;x;x;705099
3;705100;D.CAN_F_L..FD_E128_1_3;E128;SP_CANLFW3;1;1-71D;-;-;TLENK1.1A1;1ELE;2;1-42E;N_103_360_03;357_972_740_E;N_108_564_04;SL705099;2-or/br;1537;OR/BR;0,35;D.CAN_F_L..FD;-;-;-;-;x;x;x;x;705100
